Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainTomarrow
1/25/2009,24.4,36,0,8,9,57,13,37,68,48,1011.1,1009.5,5,5,28.8,32.7,No
1/26/2009,22.7,34.4,5.4,7.2,13.1,43,22,9,69,46,1015.7,1012.8,2,5,27,33.3,Yes
1/27/2009,21.3,33.4,0,8.8,13.2,44,20,13,53,38,1017.3,1014.2,1,4,26.7,31.1,No
1/28/2009,20.3,33.7,0,10.2,13.1,41,13,15,58,36,1016.2,1013,1,3,25.9,31.5,No
1/29/2009,19.1,33.6,0,10,13.2,61,17,13,56,28,1016.9,1013.1,0,1,24.9,32.4,No
1/30/2009,20.2,33.6,0,10,13,48,24,20,54,33,1017,1012.7,0,4,24.5,31.5,No
1/31/2009,19.6,33.7,0,10.8,13,44,19,17,59,28,1017.4,1013.2,1,2,25.1,32.9,No
2/1/2009,19.5,35.1,0,9.8,11.8,48,17,17,56,32,1015,1010.9,7,6,25.4,33.2,No
2/2/2009,21.1,33.4,0,12.6,11.3,33,22,9,54,40,1012.9,1008.9,7,7,26.5,31.4,No
2/3/2009,20.4,34.7,0,8,11.4,52,17,15,57,32,1010.4,1006.7,2,3,24.8,33,No
2/4/2009,20.3,35,0,8.4,12.3,37,24,7,61,36,1008.9,1005.8,1,2,26,32.8,No
2/5/2009,22.1,36.8,0,9.6,12.6,35,17,17,60,29,1008.9,1005.5,0,1,25.4,34.3,No
2/6/2009,22.8,37.4,0,10.2,12.3,33,17,13,63,22,1010.4,1008.1,1,1,25.9,35.1,No
2/7/2009,19.7,36.1,0,11.6,12.8,44,20,15,55,22,1014.4,1010.4,1,0,24.8,34.3,No
2/8/2009,19.8,36.1,0,11.2,12.9,30,19,7,63,25,1012.4,1008.4,0,0,24,34,No
2/9/2009,20,40.5,0,10.6,12.7,31,11,9,33,13,1008.9,1005.4,0,1,28,38.2,No
2/10/2009,27.3,37.6,0,12.8,1.9,59,28,22,42,24,1007.1,1003.5,7,7,29.5,36.9,No
2/11/2009,20.8,31.9,7,9.8,12.1,48,11,24,47,23,1006.1,1005.1,1,0,23.2,30.8,Yes
2/12/2009,16.1,33.4,0,10.2,12.3,54,26,11,53,22,1010.5,1007.6,1,7,23,32.1,No
2/13/2009,19.4,25.5,0,9.8,3.8,69,30,39,59,57,1014.9,1013,4,7,22.3,22.1,No
2/14/2009,16.6,20,29.2,8.2,0.4,56,24,39,93,85,1011.9,1009.2,8,6,17.8,19.8,Yes
2/15/2009,16.9,25.5,51.4,7.4,3.8,37,15,13,93,67,1007.8,1006.9,7,6,18,23.7,Yes
2/16/2009,17.9,28.4,0,3.6,8.3,57,13,39,70,53,1009.5,1006.8,7,6,21.2,27,No
2/17/2009,17.4,27.9,55.8,13.6,8.2,35,24,4,94,56,1008.9,1007.5,7,5,18.5,26.3,Yes
2/18/2009,18.5,30,0,4,10.4,52,13,7,74,55,1008.3,1004.3,2,3,24.1,29.1,No
2/19/2009,19.4,31.4,0,6,12.5,28,13,15,79,49,1007.7,1005.8,2,5,23.3,30.9,No
2/20/2009,19.6,31.8,0,5.4,10.3,33,11,9,78,55,1010.2,1008.3,2,7,25.2,30.1,No
2/21/2009,19.7,32.4,0,6.6,10.9,48,13,9,78,48,1011.3,1008.7,2,1,23.2,30.4,No
2/22/2009,19.8,32.6,0,6.6,12.3,41,20,9,67,40,1013.9,1012.1,1,3,24,31,No
2/23/2009,19.1,32.1,0,7.8,12.3,33,17,9,68,37,1016.2,1013.4,0,3,23.7,31.2,No
2/24/2009,19.6,32.4,0,7.4,11.6,30,15,13,65,39,1016.7,1014,1,3,23.3,30.9,No
2/25/2009,21.9,31.6,0,7.6,8.6,46,15,7,68,46,1016.4,1012.9,8,7,23.9,30,No
2/26/2009,17.8,32.8,0,7.2,12.3,31,24,11,65,39,1015.8,1012.2,1,2,22.9,31.3,No
2/27/2009,18.6,30.7,0,7.8,12,37,19,11,56,40,1015.5,1012.1,2,3,22,29.1,No
2/28/2009,14.2,33.6,0,8.6,11.9,39,26,15,69,27,1012.3,1008.8,4,1,21.6,31.5,No
3/1/2009,18.4,35.5,0,6.6,10.6,37,NA,20,48,24,1010.4,1008.1,5,3,25,34.6,No
3/2/2009,16.3,34.6,0,9.8,6.4,28,13,9,32,16,1012.1,1010.7,5,7,24.8,33.9,No
3/3/2009,19.3,35.4,0,7,9.6,33,20,9,70,33,1014.7,1011.7,7,4,23.8,34.2,No
3/4/2009,23.8,34.2,0,8.4,5.5,59,31,9,57,41,1011.7,1007.6,6,5,25.5,33.5,No
3/5/2009,10.9,26.2,0,11,11.6,57,26,28,39,25,1014,1010.5,0,0,17.2,25.3,No
3/6/2009,10.5,27.5,0,9.2,11.8,31,4,15,47,27,1013.1,1010.4,0,0,17.5,26.5,No
3/7/2009,10.7,30.9,0,6.8,11.8,28,17,9,54,19,1013.5,1010.6,1,1,17.9,29.7,No
3/8/2009,14.7,32.6,0,9,11.8,43,20,9,64,28,1013.7,1010.9,0,3,23.7,31.9,No
3/9/2009,17.9,32.5,0,8,10.8,50,19,20,52,27,1016.6,1012.1,2,3,23.5,31.6,No
3/10/2009,17.1,31.8,0,9.6,11.5,52,22,19,50,33,1016,1012.7,3,3,24,30.9,No
3/11/2009,16,32.5,0,10,11.3,48,22,11,53,24,1017.9,1014.2,1,2,22.4,31.1,No
3/12/2009,17.6,29,0,9.8,4.5,41,24,11,54,34,1019.2,1016.8,6,8,22.8,28.2,No
3/13/2009,18.1,31.8,0,5.8,11.7,30,19,11,55,35,1017.5,1014.2,2,4,22.6,30.1,No
3/14/2009,17.8,31.7,0,7.4,7.7,37,15,11,74,38,1016.6,1011.3,6,3,21,29.7,No
3/15/2009,19.9,33.9,1.6,6.4,10.4,43,30,13,71,34,1012.5,1007.9,2,6,23.4,32.4,Yes
3/16/2009,16.2,28.9,0,9.4,11,50,20,30,37,19,1010.9,1008.8,3,1,19.2,28,No
3/17/2009,11.1,27.6,0,11.2,11.5,39,11,22,49,22,1013.3,1010.9,1,0,17.6,25.8,No
3/18/2009,10.5,31.8,0,7.6,11.5,37,19,13,60,28,1015.5,1012.4,2,2,20.4,30.6,No
3/19/2009,16.8,33,0,6.6,10.8,31,15,11,65,30,1016.6,1012.6,2,5,22.5,31,No
3/20/2009,17.6,32.8,0,8.2,10.1,35,15,9,58,26,1015.9,1011.7,1,2,23,31.5,No
3/21/2009,16.6,31.7,0,8,11.1,52,15,11,56,25,1015.5,1011.7,0,2,22,30.7,No
3/22/2009,15.8,31.3,0,7.8,11.3,28,15,9,63,23,1016.5,1012.2,1,1,20.6,29.7,No
3/23/2009,15.7,32.7,0,7.8,11.3,35,13,11,62,23,1016.9,1013.4,0,1,21.8,30.8,No
3/24/2009,16.8,33,0,7.6,11.4,37,19,9,59,24,1019.3,1015.5,0,1,21.6,32.1,No
3/25/2009,17.5,31.3,0,8.2,11.4,35,24,6,58,25,1021.8,1017.8,1,1,20.9,29.7,No
3/26/2009,15.2,32.3,0,7.6,11.2,35,20,7,55,28,1021.5,1017.7,0,1,21.2,31.2,No
3/27/2009,17.2,33.7,0,7,10.4,46,20,19,53,24,1019.6,1016.1,3,4,22.5,32,No
3/28/2009,14,30.6,0,9.6,11.1,44,13,13,54,26,1021.5,1017.6,0,3,19.5,29,No
3/29/2009,14.2,30.9,0,7.8,11.4,39,11,17,50,17,1020.7,1016.5,0,1,19.6,29.9,No
3/30/2009,15.6,30.9,0,8.6,7.9,43,19,6,52,28,1017.4,1013.1,1,7,21.5,29.5,No
3/31/2009,18.2,23.4,0,8.4,0.2,48,22,35,76,61,1013.5,1010.6,7,7,19.9,21.9,No
4/1/2009,16.9,30.6,0.6,3.6,10.5,41,13,11,82,40,1012.7,1011.2,2,5,20.4,29.5,No
4/2/2009,17.1,30.7,1,5.2,6.5,44,17,19,91,45,1017.6,1014,8,6,20.3,28.9,No
4/3/2009,19.2,31.7,0.4,5.4,9.4,35,19,13,59,36,1018.2,1014.1,4,6,24,31.5,No
4/4/2009,18.3,25.1,0,5.8,4.1,54,13,20,77,74,1016.9,1015,7,2,21.6,22.7,No
4/5/2009,17.5,29.9,22.6,7,8.8,33,11,17,75,33,1017,1012.4,6,2,20.9,29.2,Yes
4/6/2009,14.3,30.1,0,6.8,11.1,30,6,13,64,23,1017,1013.5,1,2,20.9,30,No
4/7/2009,14.3,29.7,0,6,11.1,35,22,9,55,36,1020.7,1017.1,1,3,22.8,27.9,No
4/8/2009,14.8,28.2,0,6.8,10.7,35,24,9,53,32,1023.5,1019.6,4,3,21.2,27.5,No
4/9/2009,13.1,28.2,0,6.6,10.3,33,13,15,51,19,1023.4,1018.4,3,7,20.3,28,No
4/10/2009,14.8,28.1,0,6.2,6,41,24,15,58,36,1022.9,1019,6,6,21.2,26.6,No
4/11/2009,16.9,25,0,4.6,1.5,33,17,20,63,46,1024.6,1022.1,6,8,20.8,24.2,No
4/12/2009,16.4,24,0.2,4.2,0,35,17,17,73,97,1023.3,1021,7,8,20.5,19,No
4/13/2009,17.6,21.9,19.2,3,0.3,30,15,17,96,67,1021,1016.6,8,8,18.3,21.2,Yes
4/14/2009,17.5,26.2,4.8,2,6.7,30,11,19,95,58,1015.9,1012.1,7,7,20.3,25.3,Yes
4/15/2009,13.6,26.7,0.2,2.8,8.8,39,2,22,96,38,1014.9,1012,1,1,18.2,26.2,No
4/16/2009,11.7,28.9,0,5.4,11.1,30,15,13,59,24,1015.2,1012.2,1,3,20.6,28.4,No
4/17/2009,13.7,29.8,0,5,10.1,50,17,17,50,24,1015.3,1011.9,1,4,21.8,28.8,No
4/18/2009,10.7,26.9,0,6.4,10.7,39,17,17,58,32,1016.8,1013.7,0,1,20.4,26.2,No
4/19/2009,10.1,26.7,0,6,11,46,15,24,62,29,1017,1012.8,1,1,17.8,25.8,No
4/20/2009,11.1,25.6,0,7.6,10.9,41,15,24,60,34,1016.1,1012.5,1,4,18.5,24.8,No
4/21/2009,9.5,26.6,0,5.8,9.6,37,9,24,66,34,1017.6,1013.9,5,3,17.1,25.8,No
4/22/2009,10.8,26.3,0,5.6,10.7,33,15,7,54,27,1020.2,1015.9,1,1,19.4,25.5,No
4/23/2009,11.2,26.1,0,5.6,10.8,31,24,11,56,30,1018.8,1014.6,0,3,19.7,25.5,No
4/24/2009,10.8,29.9,0,4,6.6,54,24,22,57,22,1014.4,1008.1,6,5,19.8,29.4,No
4/25/2009,13,25.2,0,5.4,10.1,43,19,24,49,31,1011.4,1008.1,0,3,19.5,24.8,No
4/26/2009,14.1,25.1,0,6,10.6,50,31,24,45,35,1011.2,1008.9,1,3,20.9,23.2,No
4/27/2009,6.8,20.5,0,6.6,10.7,48,13,20,41,27,1017.9,1015.6,0,1,14.7,20,No
4/28/2009,4.8,23.7,0,4.6,10.6,39,6,24,47,28,1021.6,1017.4,1,5,15.6,23.3,No
4/29/2009,8,23.6,0,4.8,8,35,13,20,58,32,1020.5,1016.5,6,5,15.4,21.7,No
4/30/2009,4.8,19.3,0,4.2,10.9,37,11,24,47,19,1020.5,1017.7,0,0,12.8,18.7,No
5/1/2009,3.5,23.5,0,5.2,10.2,30,15,11,42,18,1023.5,1019.6,2,5,15.3,22.9,No
5/2/2009,8.4,24.7,0,4.6,9.6,26,13,9,53,31,1024.1,1020,4,4,16.7,23,No
5/3/2009,9.4,24.4,0,3.8,6.3,31,20,7,49,36,1024.6,1021.7,3,4,18.9,22.6,No
5/4/2009,10.6,24.9,0,3.6,9.1,33,11,24,56,26,1027.3,1023.6,3,4,16.8,24.3,No
5/5/2009,9.1,24.3,0,4.6,10.5,30,17,9,53,27,1028.8,1024.6,2,3,17.6,23.7,No
5/6/2009,9.1,25.1,0,4.8,10.1,33,17,9,51,27,1026.9,1021.7,1,5,18.3,24,No
5/7/2009,10,24.8,0,3.8,10.2,28,13,15,61,29,1024.9,1020.7,2,4,17.8,24.3,No
5/8/2009,7.6,25.3,0,3.8,10.5,22,4,11,53,23,1025,1021.2,0,2,15.9,24.2,No
5/9/2009,9.7,24.3,0,4.4,10.4,28,15,11,51,25,1023.5,1018.7,0,2,17.1,23.9,No
5/10/2009,6.2,24.7,0,4,10.4,33,13,17,42,17,1021.2,1017.6,0,1,16.8,24.1,No
5/11/2009,8.8,23.6,0,5.2,10.5,28,17,6,50,28,1022.2,1018.2,0,3,16.3,23,No
5/12/2009,8.8,22.4,0,4,6,26,17,NA,61,41,1021.2,1016.8,6,NA,15.5,20,No
5/13/2009,5.3,22.8,0,2.8,9.3,35,9,17,64,22,1018.8,1015,1,4,14.3,21.6,No
5/14/2009,2.6,22.1,0,4,10.3,48,9,28,44,19,1018.4,1015.1,0,0,13.6,21.7,No
5/15/2009,3.3,21.5,0,4.8,10.5,46,0,24,45,26,1019.8,1016.4,0,0,14.2,21.3,No
5/16/2009,2.7,22.4,0,4,10.3,39,0,24,51,27,1018.5,1015,2,2,13.5,21.9,No
5/17/2009,4.5,20.6,0,4,8.2,37,9,19,60,50,1019.6,1016.2,2,7,14.1,16.7,No
5/18/2009,7.2,23.9,0,4.8,3.9,41,26,20,49,29,1020.8,1016.8,6,7,17.5,22.8,No
5/19/2009,13.4,15.7,4.8,2.4,0.1,37,28,11,83,90,1019.5,1015.4,7,7,14.9,15.6,Yes
5/20/2009,13.2,15.9,22,2.6,0,37,13,17,89,88,1014.7,1012,8,8,14.4,15.2,Yes
5/21/2009,12.9,17.3,8.8,4.8,0,41,11,20,94,82,1013.7,1010.7,8,7,13.6,15.4,Yes
5/22/2009,12.5,23.5,7.4,1.4,5.7,44,31,2,64,48,1011.5,1009.8,6,7,17.1,22,Yes
5/23/2009,10.3,25.3,0.2,4.2,10.1,39,19,24,62,41,1015.4,1012.8,1,2,19.1,24.2,No
5/24/2009,11.1,23.7,0,4.2,9.8,37,11,17,64,37,1021.9,1019.6,3,2,17.5,23.5,No
5/25/2009,9.3,23.1,0,3.6,9.9,30,17,7,64,39,1024.4,1021.1,4,5,15.9,21.8,No
5/26/2009,9.9,22.8,0,3,8.1,28,17,NA,71,39,1022.9,1019.6,4,5,14.8,22,No
5/27/2009,8.6,23.1,0,3.4,9.1,28,13,11,77,44,1021.3,1017.5,1,4,15.3,21.6,No
5/28/2009,8.2,23.1,0,2.4,5.4,28,11,7,83,45,1020.8,1017.3,5,6,13.5,22.9,No
5/29/2009,9,19.9,2.8,1.6,5.9,28,2,19,100,47,1021.3,1019,8,1,10.7,19.6,Yes
5/30/2009,5.4,20.5,0,2.2,9.2,31,7,9,77,36,1024.7,1022.1,1,4,12.4,19.6,No
5/31/2009,8.6,20.2,0,2.6,0.8,31,9,17,70,54,1028.5,1025.1,7,7,13.1,19.2,No
6/1/2009,10,17.9,0,3,0,28,17,9,62,53,1028.8,1024.9,7,7,13.1,17.7,No
6/2/2009,12.3,20.4,0.2,2.2,0,31,11,19,67,49,1026.5,1023.3,7,7,15.2,19.9,No
6/3/2009,10.6,21.6,0,2,4.2,33,13,15,75,52,1023.6,1019.5,7,6,14.3,20.7,No
6/4/2009,12.4,20.7,2.2,1.8,4.8,30,17,17,87,66,1020.9,1016.3,7,5,15.9,19,Yes
6/5/2009,8.5,19.5,0.2,2.2,7.3,30,11,15,NA,39,1018.3,1014.8,8,1,12.5,19.1,No
6/6/2009,4.7,20.7,0,2.8,8.7,26,17,9,72,38,1016.3,1012,0,4,11.1,19.8,No
6/7/2009,8.9,17.5,0,2,8.2,43,22,30,82,44,1013.2,1012.1,1,5,13.3,16.4,No
6/8/2009,9.5,19.2,0,2.6,8.6,43,17,22,61,39,1016.1,1013.7,5,3,14.5,17.7,No
6/9/2009,6,17.1,0,4,8.5,48,17,31,73,36,1018.1,1015.9,3,5,11.7,16.1,No
6/10/2009,6.1,14.4,0,2.8,8.3,48,24,31,62,39,1020.2,1019,5,3,11.3,13.3,No
6/11/2009,-1.4,12.9,0,2,9.5,35,15,24,76,29,1024.7,1021.9,0,0,5.9,12.4,No
6/12/2009,-2.3,17.3,0,6.4,8.3,19,9,7,67,23,1025.1,1020.9,0,3,5.5,16.9,No
6/13/2009,2.6,19.7,0,2.4,10.3,35,26,17,51,19,1020.9,1016.7,3,0,11,19.3,No
6/14/2009,2.5,20.5,0,4,9.7,33,17,15,56,30,1016.8,1013,6,7,11,20.2,No
6/15/2009,8.3,20.4,0.8,1.8,8.8,30,11,20,72,38,1015.1,1012,1,2,13.8,19.9,No
6/16/2009,5.1,19.5,0,2.8,9.7,33,6,15,61,36,1019.2,1017.8,1,3,11.1,18.5,No
6/17/2009,3.1,21.2,0,3.6,9.6,30,6,7,71,38,1023.9,1021.3,0,2,11.4,19.7,No
6/18/2009,6.2,21.1,0,3,9.2,37,6,19,64,35,1024.8,1021.4,1,2,13.1,20.2,No
6/19/2009,5.7,21.7,0,3.2,7.2,39,9,19,73,39,1024.6,1020.7,1,6,11.3,20.1,No
6/20/2009,5.5,21.4,0,3,4.8,33,7,19,69,46,1023.5,1020,1,7,13.8,20.2,No
6/21/2009,9.9,20.6,0,3.2,1.9,35,13,11,78,86,1022.6,1019.1,7,7,14.5,16.5,No
6/22/2009,10.7,21.8,13.4,2.2,9.8,22,13,2,90,50,1020,1017.3,1,1,15.7,21.3,Yes
6/23/2009,7.5,21.3,0,2.4,9.7,26,15,6,77,45,1020.6,1016.9,0,1,13,20.5,No
6/24/2009,7.2,21.2,0,2,6.6,20,15,13,80,48,1018.4,1014.9,6,6,10.8,19.4,No
6/25/2009,3.9,18.5,0,1.4,2.9,19,9,2,88,38,1018.2,1014.5,7,7,8.1,16.7,No
6/26/2009,8.1,15.4,0,1.8,0.6,26,0,9,73,67,1013.9,1009.6,7,6,13.2,15.3,No
6/27/2009,9.3,17.7,1.6,1,4,35,11,24,94,62,1007.7,1005.1,8,7,12.5,16.4,Yes
6/28/2009,9.7,15.2,0.6,1.2,2,39,13,24,94,54,1010,1009.6,7,7,12.1,14.4,No
6/29/2009,4.1,18.6,0,1,9.5,15,0,7,78,45,1017.4,1014.4,1,1,10.7,17.9,No
6/30/2009,6,20.7,0,3,5.9,39,13,26,78,35,1019,1013.1,4,6,10.7,19.3,No
7/1/2009,9.4,24.1,0,3.4,7.6,41,13,33,57,26,1014,1010.6,2,2,15.5,23,No
7/2/2009,3.3,17.5,0,3.4,9.7,39,11,24,53,25,1015.6,1013.4,2,2,10.4,17.3,No
7/3/2009,8.1,16.3,0,4,8.2,56,30,39,61,38,1014.6,1012.5,1,4,11.3,14.4,No
7/4/2009,1.7,14.3,0,4.2,6.4,50,17,28,86,53,1019.3,1017.7,7,5,6.2,12.9,No
7/5/2009,3.5,15.7,0,2.8,4.8,37,9,20,82,51,1020.5,1018.1,8,8,8.2,14.2,No
7/6/2009,0.3,17.6,0,2,4.9,35,11,17,80,46,1021.6,1018.4,6,6,7.2,15.7,No
7/7/2009,6.9,19,0,1.6,4.1,28,7,0,68,50,1020.2,1017.9,7,6,11.4,18.1,No
7/8/2009,5.2,20.3,0,2,9.3,35,11,15,65,32,1024.4,1021.7,3,3,11.9,19.5,No
7/9/2009,2.3,19,0,3,9.8,28,2,11,63,36,1026.2,1023.1,1,3,11.1,18.3,No
7/10/2009,3,20.1,0,3.8,9.2,35,13,19,61,34,1023.9,1019.1,1,2,12.1,19.6,No
7/11/2009,3.8,20.3,0,3.6,10,26,19,4,67,35,1020.7,1017.1,2,1,11.3,19.5,No
7/12/2009,3,22.5,0,2.8,10,30,20,17,70,29,1017.6,1013,0,2,11.7,22.3,No
7/13/2009,9,19.5,0,3.2,6.9,39,15,26,47,36,1013,1011.1,4,6,13.6,18.7,No
7/14/2009,9.1,16.4,4,3.2,8,28,15,17,81,39,1013,1009.8,3,3,11.6,16,Yes
7/15/2009,4.3,15.4,0,3,1.9,44,13,13,78,75,1011.9,1009.6,7,7,7.8,12.1,No
7/16/2009,7.3,13.2,5,1.6,1.2,50,17,19,92,77,1015.3,1013.6,8,6,8.9,10.4,Yes
7/17/2009,0.9,15.2,0.4,1.2,9.6,30,17,15,93,52,1021.1,1019.1,2,2,5.6,14.7,No
7/18/2009,2,18.4,0,1.6,9.9,28,13,15,80,39,1023.8,1020,1,2,9.1,17.6,No
7/19/2009,2.1,17.8,0,2,10.2,26,13,11,78,34,1024.2,1022.4,0,1,9.4,17.1,No
7/20/2009,2.2,20.8,0,3,10,35,13,17,65,22,1027.1,1023.2,0,0,9.5,20.3,No
7/21/2009,5.8,23.8,0,3.2,9.7,39,28,17,64,35,1024.8,1019.5,0,4,15.1,22.8,No
7/22/2009,11.7,19.7,0,4,0.7,39,24,9,69,88,1020,1015.1,7,7,14.4,16.7,No
7/23/2009,10.3,18.4,2.2,1.4,9.1,39,13,28,72,33,1018,1017.2,0,1,12.5,17.4,Yes
7/24/2009,-0.4,17.9,0,3.6,10.3,31,6,19,75,31,1024.9,1022.2,0,1,8.2,17.6,No
7/25/2009,3.6,19.9,0,3,10.2,30,15,11,60,32,1026.6,1021.8,0,1,11.1,18.8,No
7/26/2009,8.4,19.7,0,3.2,3.3,41,22,17,70,54,1021,1015.5,6,7,13.1,18.2,No
7/27/2009,4.9,16.2,0,2.4,9.1,41,22,24,92,41,1020.1,1019.2,7,0,6.6,16.1,No
7/28/2009,-0.3,17.3,0,3.2,10.4,33,13,22,86,35,1025.6,1022.6,1,1,5.9,16.6,No
7/29/2009,0.8,17.4,0,3.2,10.3,37,9,20,79,39,1027.2,1024.2,0,1,8.2,17,No
7/30/2009,1.2,18.1,0,3,10,33,0,17,68,38,1026.3,1022.6,0,2,9.5,17.1,No
7/31/2009,1.7,18.1,0,3.4,9.7,33,0,22,63,33,1025.1,1022.7,6,4,9.9,16.9,No
8/1/2009,1.7,18.1,0,4,10.2,33,7,20,82,30,1026.9,1023.6,0,0,9.4,17.6,No
8/2/2009,-0.6,20.3,0,3,10.3,17,11,6,65,27,1027.9,1024.3,0,0,8.8,19.6,No
8/3/2009,0.4,19.1,0,2.6,10.4,31,7,17,57,28,1026,1022.4,0,0,10.3,18.7,No
8/4/2009,1.6,19.6,0,3.2,10.2,26,13,11,51,28,1023.3,1019.2,5,5,11,18.9,No
8/5/2009,1.3,20.7,0,2.6,10.3,20,7,15,56,26,1022.2,1019.9,1,1,11.9,19.9,No
8/6/2009,2.1,22,0,3.2,10.4,28,11,13,61,29,1023.7,1019.4,7,1,12.5,21.2,No
8/7/2009,6.5,24.8,0,3.4,10.6,43,20,17,62,27,1020.3,1015.2,0,2,15.8,24,No
8/8/2009,0.3,19,0,5,10.5,41,9,15,55,18,1022.1,1018.6,0,0,9.6,18.3,No
8/9/2009,1.1,20.8,0,4.4,10,33,19,11,50,28,1021.4,1017.8,3,6,11.3,20.1,No
8/10/2009,4.8,21.8,0,3.6,5.6,41,20,17,56,38,1020.6,1017.1,7,7,15,19.8,No
8/11/2009,12.3,25.5,0,4,8.9,56,37,31,61,31,1017.5,1012.7,4,2,16.1,24.2,No
8/12/2009,12.2,25,0,6.6,6.5,26,11,7,55,24,1015.6,1010.9,7,3,15.2,24.5,No
8/13/2009,3.3,22.4,0,4,10.6,41,7,26,53,20,1017.3,1014.4,0,1,13.9,21.6,No
8/14/2009,2.5,20.8,0,4,10.8,31,0,13,54,23,1020.9,1017.8,1,0,12.7,20.7,No
8/15/2009,1.5,22.1,0,4.4,10.6,26,13,11,45,20,1021.8,1018.3,0,0,13.4,21.6,No
8/16/2009,4.2,28,0,4.6,10.8,39,20,24,41,14,1020,1014.8,0,0,13.5,27.3,No
8/17/2009,12.5,23.8,0,7,5,44,17,28,54,26,1017.5,1017.6,6,5,16,21.7,No
8/18/2009,2.1,20,0,5.2,10.7,31,13,9,43,18,1027.6,1024.1,0,0,11.1,19.2,No
8/19/2009,2.2,22.3,0,3.4,9.9,31,11,9,45,21,1028.3,1022.9,2,3,12.9,21.6,No
8/20/2009,7.1,23.8,0,4.6,5.8,31,19,7,59,27,1021.1,1015.7,7,1,14.5,23.3,No
8/21/2009,10.1,29.5,0,4,9.1,46,24,26,50,18,1014.5,1007.8,1,7,17.6,29.3,No
8/22/2009,15.2,24.6,0,6.4,0.2,28,9,13,51,34,1013.9,1012,7,6,18.1,24.2,No
8/23/2009,15.9,33.6,0,3.8,10.6,33,17,20,42,15,1013.2,1009.2,4,0,22.3,32.9,No
8/24/2009,18.3,36.1,0,9,0.8,65,26,22,27,20,1011.5,1006.3,4,3,25.5,32.2,No
8/25/2009,17.6,24,0,10,9.9,41,31,17,23,14,1014.5,1012.1,2,0,20.3,23.5,No
8/26/2009,4.2,22.3,0,4.8,11,31,19,17,28,18,1019.6,1017.2,3,0,16.6,21.4,No
